"...1","SPECIES","CODE","LTL","CLG","WIN","OVE","BRE"
1,"Agonum fuliginosum","agon fuli",1.82,2,2,"1",1
2,"Agonum muelleri","agon muel",1.92,2,3,"1",1
3,"Amara aenea","amar aene",1.9,1,3,"1",1
4,"Amara apricaria","amar apri",1.94,1,3,"2",3
5,"Curtonotus aulicus","amar auli",2.13,1,3,"2",3
6,"Amara bifrons","amar bifo",1.85,1,3,"2",3
7,"Amara communis","amar comm",1.91,2,3,"2",1
8,"Amara eurynota","amar eury",2.06,1,3,"2",3
9,"Amara familiaris","amar fami",1.87,1,3,"1",1
10,"Amara lunicollis","amar luni",1.95,2,3,"1",1
11,"Amara plebeja","amar pleb",1.9,1,3,"1",1
12,"Anchomenus dorsalis","anch dors",1.86,3,3,"1",1
13,"Asaphidion flavipes","asap flav",1.69,1,3,"1",1
14,"Bembidion aeneum","bemb aene",1.66,2,2,"2",1
15,"Bembidion bruxellense","bemb brux",1.71,1,3,"1",1
16,"Bembidion guttula","bemb gutt",1.56,1,2,"1",1
17,"Bembidion lampros","bemb lamp",1.6,1,2,"1",1
18,"Bembidion mannerheimi","bemb mann",1.53,1,1,"1",1
19,"Bembidion obtusum","bemb obtu",1.51,1,2,"1",3
20,"Bembidion tetracolum","bemb tetr",1.76,1,2,"1",1
21,"Bradycellus harpalinus","brad harp",1.69,1,2,"2",3
22,"Bradycellus ruficollis","brad rufi",1.57,1,3,"1",3
23,"Calathus fuscipes","cala fusc",2.09,1,1,"2",3
24,"Calathus melanocephalus","cala mela",1.92,1,2,"2",3
25,"Calathus micropterus","cala micr",1.92,1,1,"2",3
26,"Carabus arvensis","cara arve",2.28,2,1,"1",1
27,"Carabus glabratus","cara glab",2.4,2,1,"2",2
28,"Carabus granulatus","cara gran",2.29,2,1,"1",1
29,"Carabus nemoralis","cara nemo",2.37,2,1,"2",1
30,"Carabus nitens","cara nite",2.22,2,1,"1",2
31,"Carabus problematicus","cara prob",2.39,2,1,"2",2
32,"Carabus violaceus","cara viol",2.41,2,1,"2",3
33,"Clivina fossor","cliv foss",1.8,1,2,"2",1
34,"Cychrus caraboides","cych cara",2.24,2,1,"2",3
35,"Dyschiroides globosus","dysc glob",1.45,2,1,"1",1
36,"Elaphrus cupreus","elap cupr",1.98,3,3,"1",1
37,"Elaphrus uliginosus","elap ulig",2,3,3,"1",1
38,"Harpalus affinis","harp affi",2.02,1,3,"2",1
39,"Harpalus latus","harp latu",2.01,1,3,"1",2
40,"Harpalus rufipes","harp rufi",2.19,1,3,"2",3
41,"Leistus terminatus","leis term",1.84,1,2,"2",3
42,"Loricera pilicornis","lori pili",1.9,2,3,"1",2
43,"Nebria brevicollis","nebr brev",2.1,1,3,"2",3
44,"Nebria salina","nebr sali",2.08,1,3,"2",3
45,"Notiophilus aquaticus","noti aqua",1.77,3,2,"2?",2
46,"Notiophilus biguttatus","noti bigu",1.75,3,2,"1",1
47,"Notiophilus germinyi","noti germ",1.76,3,3,"2",1
48,"Notiophilus palustris","noti palu",1.78,3,2,"2",3
49,"Notiophilus substriatus","noti subs",1.74,3,1,"1",1
50,"Olisthopus rotundatus","olis rotu",1.86,1,2,"2",3
51,"Patrobus assimilis","patr assi",1.91,1,1,"2",2
52,"Patrobus atrorufus","patr atro",1.93,1,1,"2",3
53,"Poecilus versicolor","poec vers",2.09,2,3,"1",2
54,"Pterostichus adstrictus","pter adst",2.1,2,3,"2",2
55,"Pterostichus diligens","pter dili",1.8,2,2,"2",1
56,"Pterostichus madidus","pter madi",2.2,1,1,"2",3
57,"Pterostichus melanarius","pter mela",2.22,2,2,"2",3
58,"Pterostichus niger","pter nige",2.29,2,3,"2",3
59,"Pterostichus nigrita","pter nigr",2.06,2,2,"2",1
60,"Pterostichus rhaeticus","pter rhae",2,2,2,"2",1
61,"Pterostichus strenuus","pter stre",1.83,1,2,"1",1
62,"Pterostichus vernalis","pter vern",1.85,1,2,"1",1
63,"Stomis pumicatus","stom pumi",1.86,1,1,"1",1
64,"Synuchus vivalis","synu viva",1.86,1,2,"2",3
65,"Trechoblemus micros","trec micr",1.63,1,3,"2",2
66,"Trechus obtusus","trec obtu",1.6,1,1,"2",3
67,"Trechus quadristriatus","trec quad",1.62,1,3,"2",3
68,"Trechus rubens","trec rube",1.75,1,3,"1",3
